,player_id,first_name,last_name,country_code,current_rank
465,200221,Alejandro,Davidovich Fokina,ESP,53
466,200247,Alexandar,Lazarov,BUL,544
467,200250,Mehluli Don Ayanda,Sibanda,ZIM,780
468,200265,Ulises,Blanch,USA,246
469,200267,Zizou,Bergs,BEL,436
470,200273,Hady,Habib,LIB,756
471,200274,Alex,Diaz,PUR,-1
472,200278,Simon,Carr,IRL,546
473,200282,Alex,De Minaur,AUS,23
474,200303,Pavel,Kotov,RUS,269
475,200325,Emil,Ruusuvuori,FIN,87
476,200335,Felipe,Meligeni Rodrigues Alves,BRA,230
477,200343,David,Szintai,HUN,1605
478,200368,Jack Mingjie,Lin,CAN,1345
479,200384,Hugo,Gaston,FRA,161
480,200390,Kacper,Zuk,POL,262
481,200401,Amir Hossein,Badi,IRI,-1
482,200436,Zsombor,Piros,HUN,437
483,200460,John Bryan Decasa,Otico,PHI,-1
484,200483,Peter August,Anker,NOR,-1
485,200484,Rudolf,Molleker,GER,218
486,200514,Jurij,Rodionov,AUT,143
487,200526,Juan,Lugo,VEN,-1
488,200553,Alen,Avidzba,RUS,457
489,200574,Alexander,Donski,CAN,594
490,200611,Elliot,Benchetrit,FRA,221
491,200615,Alexei,Popyrin,AUS,113
492,200619,Sebastian,Arcila,PUR,-1
493,200620,Ignacio,Garcia,PUR,-1
494,200624,Sebastian,Korda,USA,119
495,200670,Jeffrey John,Wolf,USA,127
496,200711,Nicolas,Mejia,COL,454
497,201995,Cayetano,March,ECU,682
498,202065,Petros,Tsitsipas,GRE,960
499,202090,Adrian,Andreev,BUL,564
500,202103,Francisco,Cerundolo,ARG,139
501,202120,Rowland,Phillips,JAM,1439
502,202130,Emil,Reinberg,USA,-1
503,202165,Alberto,Lim,PHI,-1
504,202195,Maxime,Cressy,FRA,168
505,202210,Edris,Fetisleam,ROU,-1
506,202246,Nikoloz,Davlianidze,GEO,-1
507,202261,Otto,Virtanen,FIN,611
508,202262,Filip Cristian,Jianu,ROU,394
509,202300,Phuong Van,Nguyen,VIE,-1
510,202358,Chun Hsin,Tseng,TPE,280
511,202382,Simen Sunde,Bratholm,NOR,-1
512,202385,Jenson,Brooksby,USA,310
513,202400,Alastair,Gray,GBR,1113
514,202462,Yasitha,De Silva,SRI,-1
515,202475,Philip,Henning,RSA,-1
516,205695,Ching,Lam,HKG,-1
517,205734,Thiago,Seyboth Wild,BRA,117
518,206000,Michel,Saade,LIB,-1
519,206173,Jannik,Sinner,ITA,36
520,206199,Kevin,Cheruiyot,KEN,1803
521,206600,Zura,Tkemaladze,GEO,-1
522,206642,Yassir,Kilani,MAR,1454
523,206703,Paul,Jubb,GBR,523
524,206716,Lukas,Hellum Lilleengen,NOR,1445
525,206748,Giulio,Zeppieri,ITA,328
526,206750,Daniil,Glinka,EST,846
527,206768,Rafael Eduardo,Gonzalez Retana,ESA,-1
528,206909,Brandon,Nakashima,USA,170
529,207134,Fitriadi,M Rifqi,INA,-1
530,207139,Palaphoom,Kovapitukted,THA,1053
531,207176,Muhammad,Althaf Dhaifullah,INA,-1
532,207182,Emilio,Nava,USA,665
533,207400,Mark,Chigaazira,ZIM,-1
534,207401,Sheil,Kotecha,KEN,1423
535,207415,Daniel,Michalski,POL,428
536,207421,Alex,Fairbanks,SRI,-1
537,207479,Soufiane,El Mesbahi,MAR,-1
538,207518,Lorenzo,Musetti,ITA,129
539,207608,Timofey,Skatov,RUS,445
540,207669,Robert,Strombachs,GER,668
541,207680,Facundo,Diaz Acosta,ARG,401
542,207738,Brandon,Perez,VEN,1723
543,207797,Jonas,Forejtek,CZE,364
544,207830,Tomas,Machac,CZE,197
545,207836,Muzammil,Murtaza,PAK,-1
546,207852,Wai Yu,Kai,HKG,-1
