tourney_id,surface,winner_id,loser_id
2020-M-DC-2020-QLS-M-CZE-SVK-01,Clay,106210,106075
2020-M-DC-2020-WG1-PO-VEN-NZL-01,Hard,110686,105467
2020-M-DC-2020-WG2-PO-POL-HKG-01,Hard,105668,106388
2020-520,Clay,106148,133430
2020-8888,Hard,111575,126203
2020-9158,Clay,104655,126149
2020-560,Hard,126203,136440
2020-560,Hard,126610,104424
2020-560,Hard,126774,202195
2020-M009,Clay,105882,126203
2020-0352,Hard,100644,104745
2020-0605,Hard,106421,104745
2020-M-DC-2020-QLS-M-CZE-SVK-01,Clay,104586,105413
2020-0424,Hard,103893,105905
2020-560,Hard,200282,105577
2020-0568,Hard,200005,200303
2020-560,Hard,104468,105633
2020-520,Clay,105613,200514
2020-580,Hard,105138,111581
2020-8888,Hard,111575,105882
2020-8888,Hard,110602,105550
2020-0301,Hard,200005,104545
2020-0301,Hard,105332,105357
2020-M-DC-2020-WG2-PO-DEN-PUR-01,Hard,111453,144687
2020-520,Clay,126774,104655
2020-0568,Hard,106432,103852
2020-M009,Clay,106432,106426
2020-M056,Hard,104655,124187
2020-580,Hard,106109,105077
2020-0375,Hard,105676,105732
2020-M024,Hard,105815,200000
2020-560,Hard,106228,105539
2020-560,Hard,104925,106378
2020-0605,Hard,106233,104925
2020-560,Hard,106233,200000
2020-0568,Hard,111575,106234
2020-580,Hard,103819,105916
2020-580,Hard,106043,200221
2020-9158,Clay,144895,105550
2020-560,Hard,126203,104468
2020-7434,Hard,206173,105173
2020-0605,Hard,106421,106233
2020-M-DC-2020-QLS-M-CRO-IND-01,Hard,105227,111576
2020-520,Clay,106415,200000
2020-520,Clay,132283,122330
2020-9158,Clay,105413,144895
2020-0375,Hard,105577,133430
2020-560,Hard,134770,111456
2020-560,Hard,111815,105948
2020-M009,Clay,134770,111575
2020-0352,Hard,105683,200005
2020-7434,Hard,104755,106148
2020-560,Hard,105807,133430
2020-0568,Hard,111575,105902
2020-580,Hard,105583,117360
2020-0375,Hard,105676,122330
2020-0499,Hard,124187,105683
2020-560,Hard,128034,105376
2020-560,Hard,105062,106426
2020-7434,Hard,105577,104755
2020-0605,Hard,106233,104745
2020-580,Hard,104731,125802
2020-0375,Hard,200000,106000
2020-M009,Clay,132283,105932
2020-520,Clay,126203,105430
2020-0352,Hard,100644,104527
2020-M-DC-2020-WG2-PO-DEN-PUR-01,Hard,208029,200620
2020-M-DC-2020-WG2-PO-PAR-SRI-01,Clay,209226,134886
2020-0451,Hard,200175,105916
2020-580,Hard,106233,106109
2020-580,Hard,106415,105554
2020-580,Hard,106233,126203
