tourney_id,surface,winner_id,loser_id
2019-0337,Hard,104468,103852
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,Hard,104925,106415
2019-0352,Hard,106426,104871
2019-M021,Clay,126774,100644
2019-0451,Hard,105583,105575
2019-0301,Hard,104259,105614
2019-0407,Hard,106421,104871
2019-M006,Hard,105077,106065
2019-M021,Clay,128034,106298
2019-0500,Grass,126610,105932
2019-7650,Grass,104678,105332
2019-M016,Grass,126203,105550
2019-540,Grass,104468,106099
2019-M015,Hard,126774,100644
2019-0421,Hard,106233,105227
2019-0439,Clay,105583,105226
2019-5014,Hard,106233,105932
2019-M015,Hard,104545,105554
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,Hard,105577,104926
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,Hard,106233,126609
2019-0421,Hard,105554,200282
2019-5014,Hard,105676,105062
2019-M015,Hard,106043,104269
2019-7434,Hard,105062,111513
2019-0499,Hard,124187,105815
2019-M006,Hard,104468,104291
2019-M007,Hard,111442,105777
2019-M021,Clay,126203,105777
2019-7648,Clay,206173,200218
2019-520,Clay,126774,106198
2019-0500,Grass,105732,106432
2019-0315,Grass,105051,111790
2019-7480,Hard,105062,111815
2019-0421,Hard,111815,105916
2019-7581,Hard,106426,106378
2019-5014,Hard,105932,105430
2019-5014,Hard,106233,105807
2019-7581,Hard,105807,122330
2019-560,Hard,111202,124014
2019-M-DC-2019-G2-EPA-M-EGY-SLO-01,Clay,105379,105633
2019-0568,Hard,106000,104386
2019-0439,Clay,105226,105936
2019-520,Clay,106099,144719
2019-M021,Clay,104745,104527
2019-580,Hard,103819,105554
2019-580,Hard,126774,126610
2019-0499,Hard,104545,105041
2019-0410,Clay,104926,104745
2019-0308,Clay,126610,106045
2019-520,Clay,106432,144750
2019-0500,Grass,104755,105376
2019-7650,Grass,106071,105376
2019-560,Hard,105967,106065
2019-6242,Hard,126094,105341
2019-560,Hard,202385,104607
2019-0329,Hard,111442,106228
2019-M024,Hard,104755,105643
2019-0495,Hard,105932,105138
2019-520,Clay,105967,124079
2019-0533,Clay,106426,144719
2019-M006,Hard,106233,111442
2019-M020,Hard,106034,106378
2019-M001,Hard,104312,106043
2019-0407,Hard,104269,105051
2019-M007,Hard,106421,124187
2019-M009,Clay,111513,105062
2019-0717,Clay,105992,103333
2019-M024,Hard,200175,200000
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,Clay,133975,126939
2019-M016,Grass,105023,105062
2019-0429,Hard,106415,105430
2019-0495,Hard,126774,106078
2019-520,Clay,104468,104660
2019-580,Hard,104926,104919
2019-M020,Hard,105453,104871
2019-M020,Hard,104871,106401
2019-0451,Hard,104527,111797
2019-580,Hard,126207,105777
2019-0499,Hard,111456,104198
2019-M021,Clay,106233,103819
2019-520,Clay,106214,104291
2019-7650,Grass,132283,105807
2019-540,Grass,128034,105583
2019-560,Hard,111794,104655
2019-0328,Hard,103819,105376
2019-0352,Hard,105526,111575
2019-0352,Hard,104542,126094
2019-7290,Clay,126207,105062
2019-7290,Clay,126774,106249
2019-M009,Clay,111815,105357
2019-520,Clay,144750,104586
2019-0891,Hard,104731,103333
2019-0506,Clay,132283,111797
2019-0506,Clay,106148,106121
2019-0499,Hard,105223,124187
2019-0495,Hard,106432,105932
2019-M006,Hard,100644,105373
2019-0605,Hard,103819,126610
2019-M-DC-2019-FLS-M-GBR-ESP-01,Hard,104745,105554
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,Clay,104467,105827
2019-M035,Hard,105227,105657
2019-5014,Hard,105077,105227
2019-M021,Clay,105227,111513
2019-0322,Clay,105430,132283
2019-520,Clay,105430,105815
2019-M001,Hard,105916,105902
2019-580,Hard,111575,105376
2019-0499,Hard,105449,103893
2019-6932,Clay,111513,105379
2019-520,Clay,106233,122330
2019-0500,Grass,126610,104312
2019-0311,Grass,104731,111815
2019-7485,Hard,206173,111794
2019-0429,Hard,105936,106415
2019-M-DC-2019-G2-AO-M-THA-PHI-01,Hard,207139,106150
2019-0319,Clay,132283,104269
2019-7480,Hard,105062,106000
2019-0568,Hard,126610,106148
2019-6242,Hard,133430,105815
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,Clay,105413,105967
2019-0429,Hard,144707,105311
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,Clay,106329,104656
2019-M-DC-2019-QLS-M-BEL-BRA-01,Clay,106329,105963
2019-7581,Hard,133430,105614
2019-560,Hard,106421,105777
2019-M035,Hard,104542,111790
2019-0568,Hard,106078,104586
2019-0429,Hard,105936,105554
2019-M020,Hard,106421,105683
2019-580,Hard,105453,105311
2019-0499,Hard,105554,144750
2019-M004,Hard,103970,105815
2019-0533,Clay,134770,106198
2019-M007,Hard,126774,104919
2019-7290,Clay,104655,106099
2019-520,Clay,105526,133430
2019-520,Clay,134770,105208
2019-0500,Grass,100644,105449
2019-0341,Hard,104542,105732
2019-560,Hard,104925,106148
2019-0329,Hard,124187,126203
2019-M-DC-2019-QLS-M-ITA-IND-01,Grass,104312,106368
2019-6242,Hard,126094,105023
2019-540,Grass,104745,104542
2019-M006,Hard,106218,200282
2019-M021,Clay,104925,104871
2019-580,Hard,111575,106415
2019-0506,Clay,104919,105583
2019-0499,Hard,104312,111442
2019-0496,Hard,104660,106005
2019-M004,Hard,105376,105943
2019-520,Clay,104925,128034
2019-520,Clay,105373,106298
2019-0500,Grass,106432,144719
2019-6242,Hard,105657,105373
2019-0410,Clay,105583,106233
2019-0315,Grass,104999,105819
2019-M007,Hard,133430,126094
2019-0717,Clay,123755,105449
2019-7648,Clay,111513,206173
2019-0451,Hard,105916,105657
2019-580,Hard,106045,117360
2019-580,Hard,106432,105936
2019-0506,Clay,106426,200000
2019-0499,Hard,105173,104797
2019-520,Clay,105227,105341
2019-0500,Grass,103819,105357
2019-7650,Grass,200175,111442
2019-0314,Clay,104797,144817
2019-560,Hard,105932,202385
2019-0337,Hard,106233,104269
2019-M-DC-2019-QLS-M-GER-HUN-01,Hard,104259,200343
2019-7650,Grass,200175,144719
2019-0337,Hard,206173,104259
2019-520,Clay,104269,105554
2019-M006,Hard,105683,105023
2019-M021,Clay,103819,104792
2019-7290,Clay,106415,111456
2019-7648,Clay,105932,105376
2019-M020,Hard,106421,104918
2019-M001,Hard,105357,105916
2019-580,Hard,106432,105916
2019-0506,Clay,105550,202103
2019-0499,Hard,104545,105173
2019-0316,Clay,106148,106000
2019-9164,Hard,104665,105449
2019-0421,Hard,104745,105554
2019-5014,Hard,100644,126094
2019-M015,Hard,126774,105932
2019-7581,Hard,122330,105777
2019-0421,Hard,105430,104468
2019-5014,Hard,103819,105077
2019-M007,Hard,105676,106065
2019-7290,Clay,105819,106198
2019-M020,Hard,105777,105357
2019-0301,Hard,105376,105550
2019-580,Hard,104926,144719
2019-6932,Clay,111513,200000
2019-M004,Hard,111456,207182
2019-0717,Clay,106426,105023
2019-520,Clay,103917,106065
2019-0500,Grass,104542,105332
2019-7480,Hard,106043,105208
2019-9164,Hard,106000,126952
2019-0421,Hard,106378,106401
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,Clay,105613,105967
2019-5014,Hard,105332,106065
2019-7480,Hard,106228,106426
2019-M-DC-2019-QLS-M-AUT-CHI-01,Clay,106426,200514
2019-0717,Clay,104198,111511
2019-7648,Clay,104898,105341
2019-M006,Hard,200000,126774
2019-M021,Clay,106233,104926
2019-0451,Hard,104925,106000
2019-580,Hard,105453,103333
2019-0499,Hard,144750,105985
2019-0495,Hard,126774,104792
2019-0533,Clay,132283,105643
2019-7290,Clay,104291,111797
2019-0319,Clay,106075,104198
2019-560,Hard,133430,200000
2019-560,Hard,106045,104386
2019-0429,Hard,104386,144895
2019-560,Hard,105807,105550
2019-0329,Hard,106121,106432
2019-7290,Clay,104919,105583
2019-0533,Clay,105550,105477
2019-M007,Hard,126207,103970
2019-M007,Hard,105430,105051
2019-520,Clay,104919,106210
2019-520,Clay,105936,106148
2019-540,Grass,111575,126952
2019-540,Grass,104542,106071
2019-M024,Hard,105676,104755
2019-M024,Hard,106415,105453
2019-M024,Hard,126207,104792
2019-M-DC-2019-G1-AM-M-ECU-VEN-01,Hard,105933,105334
2019-M021,Clay,126774,104269
2019-M006,Hard,106415,105138
2019-580,Hard,105932,105882
2019-0407,Hard,105453,105732
2019-M004,Hard,200282,111797
2019-0495,Hard,105138,106368
2019-520,Clay,111575,105649
2019-520,Clay,126610,104665
2019-0500,Grass,105138,126203
2019-540,Grass,104386,106415
2019-0314,Clay,106121,111795
2019-0316,Clay,105643,105311
2019-0328,Hard,105430,105583
2019-0352,Hard,104542,126610
2019-560,Hard,105815,105577
2019-M024,Hard,106298,111575
2019-0352,Hard,105227,128034
2019-7290,Clay,124187,105155
2019-7648,Clay,126610,105379
2019-M001,Hard,104468,105357
2019-0506,Clay,144719,105643
2019-M007,Hard,104925,106071
2019-520,Clay,106426,124187
2019-520,Clay,111442,103333
2019-520,Clay,104527,106426
2019-7650,Grass,105807,106071
2019-540,Grass,105341,126774
2019-0439,Clay,105882,105341
2019-7485,Hard,104918,104527
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,Clay,105985,110778
2019-M021,Clay,100644,128034
2019-7290,Clay,200221,126203
2019-0717,Clay,134770,104719
2019-M001,Hard,200282,104312
2019-0499,Hard,104198,111577
2019-0496,Hard,105676,105332
2019-0495,Hard,104792,105227
2019-M006,Hard,111513,105819
2019-540,Grass,105357,106198
2019-540,Grass,105341,103333
2019-0421,Hard,104792,105138
2019-M-DC-2019-G1-EPA-M-POR-BLR-01,Hard,106078,105311
2019-7485,Hard,126207,120424
2019-M004,Hard,104545,105023
2019-7480,Hard,105208,105359
2019-0568,Hard,106078,105173
2019-560,Hard,104745,126610
2019-M007,Hard,103852,105332
2019-0717,Clay,111442,105053
2019-7290,Clay,105311,200615
2019-580,Hard,105683,104527
2019-7434,Hard,105373,105806
2019-0496,Hard,126094,126610
2019-6932,Clay,106198,106148
2019-M007,Hard,105643,105357
2019-520,Clay,106298,104620
2019-0500,Grass,111575,200175
2019-7480,Hard,126203,104926
2019-520,Clay,106233,104792
2019-0341,Hard,105932,120424
2019-M-DC-2019-QLS-M-SWE-COL-01,Clay,123755,144707
2019-7581,Hard,111442,105577
2019-M014,Hard,105227,103333
2019-540,Grass,105062,104545
2019-6242,Hard,133430,200175
2019-520,Clay,105173,105882
2019-0717,Clay,105023,104386
2019-7290,Clay,106249,200282
2019-M021,Clay,104527,105453
2019-580,Hard,105683,106401
2019-M020,Hard,106421,104542
2019-580,Hard,126774,105932
2019-0506,Clay,106233,104655
2019-0496,Hard,104897,104269
2019-M006,Hard,200175,109739
2019-540,Grass,103819,104745
2019-0311,Grass,104527,105554
2019-580,Hard,106043,106045
2019-0496,Hard,105062,133430
2019-M004,Hard,126207,111442
2019-M007,Hard,105138,104386
2019-7648,Clay,105376,144750
2019-7480,Hard,105430,104386
2019-0421,Hard,105227,105614
2019-560,Hard,104665,132283
2019-0329,Hard,144750,200282
2019-0429,Hard,105936,134770
2019-560,Hard,106045,105583
2019-0337,Hard,126610,105777
2019-0314,Clay,105077,105649
2019-0425,Clay,105453,200000
2019-M024,Hard,106421,104925
2019-0337,Hard,104792,110602
2019-6116,Hard,200282,106071
